Product_name,Brand,Rating,No_Rating,key_benefits_list
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,4.3,686 Ratings,"['It helps improve mood and energy levels', 'Relieves itchy scalp and severe headache accompanied by acidity and nausea', 'Helps reduce eruptions of pimples on the face', 'Soothes itchy, burning eyes with blurred vision and clears redness of the eyes', 'Improves digestion and defecation', 'Relieves burning sensation in the urine or decreased urine frequency', 'Reduces stiffness in legs and soothes the pain', 'Helpful in alleviating skin issues like dry eczema, psoriasis, and glandular swellings', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place, away from direct sunlight and heat', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,Dr Willmar Schwabe India Pvt Ltd,4.6,1153 Ratings,"['Seneciobicolor (cineraria maritima)', ""It is an alcohol-free formulation that doesn't cause irritation"", 'Fortified with Glycerinum 1X for a lubricating effect', 'It has added advantages for dry eye syndrome and computer vision syndrome (CVS)', 'It has been made after rigorous stability studies conducted for years', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.6,1153 Ratings,"['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja', 'Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\xa0 system and swollen glands', 'It is safe, scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
SBL Arnica Montana Herbal Shampoo with TJC,SBL Pvt Ltd,4.4,680 Ratings,"['It helps manage dull, dry and coarse hair', 'It helps to give the hair shine and make them manageable', 'It helps to nourish hair roots, reduce hair fall and protect hair from damage', 'It makes the hair smooth, silky and healthy', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
Boericke and Tafel Arnica Shampoo,Dr Willmar Schwabe India Pvt Ltd,4.3,231 Ratings,"['Arnica', 'Jaborandi', 'Salvia', 'Enhances local blood circulation in scalp', 'Used to treat alopecia and premature graying', 'Promotes hair growth and healthy hair', 'Prevents hairfall', 'Apply the Boericke and Tafel Arnica Shampoo on the scalp, rub gently with finger tips to produce foam, let the foam remain for two minutes and then wash', 'For external use only', 'Read the label carefully before use', 'Keep out of the reach of children', 'Store at a temperature below 25-degree Celsius and 40 % humidity in cool and dry place', 'Should be protected from direct light']"
Dr. Reckeweg R78 Eye Care Drop,Dr Reckeweg & Co,4.4,104 Ratings,"['Aconitum', 'Euphrasia', 'Belladonna', 'Hamamelis', 'Kalium carbonicum', 'Mercurius bijodatus', 'Dr. Reckeweg R78 Eye Care Drop is beneficial for relieving eye-related issues such as eyestrain and conjunctivitis', 'It helps in reducing irritation in the mucous membrane, ulcerous cornea, and swelling of eyelids with discharge', 'It contains Euphrasia which helps in reducing eye strain, and manages intraocular pressure, lacrimation and blepharitis', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children']"
Dynamic Homeopathy Dynamic 25 Dycough Dilution,Dynamic Agencies,4.4,104 Ratings,"['Sangunaria Canadensis', 'Ocimum Sanctum', 'Justicia Adhotoda', 'Ipecacuanha', 'Drosera Rotundifolia', 'Eriodictyon glutinosum', 'Castanea Vesca', 'Lobelia Inflata', 'Stramonium', 'Eucalyptus Globulus', 'Asafoetida', 'Belladonna', 'Kali Iodatum', 'Ferrum Phosphoricum', 'Natrum Muriaticum', 'Kali Sulphuricum', 'It is a homoeopathic remedy that helps relieve all types of cough', 'It helps to soothe and prevent bronchitis', 'It helps relieve wet cough and nasal congestion with yellow and irritating phlegm', 'Take 10 drops in the morning and 10 drops in the evening in ½ glass of water half an hour before meals or as advised by your physician', 'Read the product label carefully before use', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children', 'Consult a doctor before taking any supplement', 'Do not exceed the recommended dosage', 'Pregnant or nursing mothers, children, and people with medical conditions must consult a physician before taking this supplement']"
Bakson's Vitamin D Plus Capsule,Bakson's Homeopathy,4.4,116 Ratings,"['Improves vital levels of vitamin D', ""Bakson's Vitamin D plus capsules is a health supplement for strong bones that boosts immunity and aids in faster recovery"", 'Vitamin D capsules also contain vitamins A, B, C and E, which help in multiple functions for maintaining health', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Use under medical supervision']"
Hapdco Rheumacon Pain Relief Oil,HAPDCO,4.3,157 Ratings,"['Arnica Montana', 'Cantharis', 'Rhus Toxicodendron', 'Camphoa', 'Mentholum', 'Prevents inflammatory conditions affecting joints', 'Reduces stiffness of joints', 'Beneficial for sprain, strain and Lumbago', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of the children']"
Fourrts Gum Forte Gel Homoeopathic Toothpaste,Fourrts India Laboratories Pvt Ltd,4.6,167 Ratings,"['Plantago Q', 'Kreosotum Q', 'Calendula Q', 'Borax 6x Gel base tooth paste', 'It is also used in cases of gingivitis (gum infection) and pyorrhoea', 'It is used to strengthen the teeth and germs', 'Regular brushing with gum forte gel prevents and fights further accumulation of plaque that eventually form tough calculus called tartar', 'Take sufficient quantity of paste on the toothbrush to form rich foam. Brush thoroughly twice a day or as directed by dentist or physician', 'Children of 6 years or below should have adult supervision and use only a pea sized amount. Brush at a 45 degree angle to your teeth by directing the bristles to where gums and teeth meet', 'Clean every surface of every tooth. The chewing surface, the cheek side, the tongue side and use a soft brush with round bristles', 'By spitting thoroughly instead of rinsing your mouth with water after brushing, the thin coating of toothpaste remains on your teeth and provide the relief it is designed give you and do not swallow', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of the children']"
